File Path,Line Number,Violation Type,Priority,Description,Line Content,Suggested Fix
temp/manual_validation/concurrency_balanced/concurrency_balanced.md_example_19.asthra,5,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn go_style() -> Result<(), string> {","pub fn go_style(none) -> Result<(), string> {"
temp/manual_validation/concurrency_balanced/concurrency_balanced.md_example_17.asthra,4,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn potential_deadlock() -> Result<(), string> {","pub fn potential_deadlock(none) -> Result<(), string> {"
temp/manual_validation/concurrency_balanced/concurrency_balanced.md_example_17.asthra,12,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn safe_channels() -> Result<(), string> {","pub fn safe_channels(none) -> Result<(), string> {"
temp/manual_validation/concurrency_balanced/concurrency_balanced.md_example_4.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn robust_parallel_work() -> Result<Vec<i32>, string> {","pub fn robust_parallel_work(none) -> Result<Vec<i32>, string> {"
temp/manual_validation/concurrency_balanced/concurrency_balanced.md_example_8.asthra,5,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn multi_producer_pattern() -> Result<Vec<WorkResult>, string> {","pub fn multi_producer_pattern(none) -> Result<Vec<WorkResult>, string> {"
temp/manual_validation/concurrency_balanced/concurrency_balanced.md_example_13.asthra,6,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn resource_managed_channels() -> Result<(), string> {","pub fn resource_managed_channels(none) -> Result<(), string> {"
temp/manual_validation/concurrency_balanced/concurrency_balanced.md_example_6.asthra,5,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn tier2_function() -> Result<(), string> {","pub fn tier2_function(none) -> Result<(), string> {"
temp/manual_validation/concurrency_balanced/concurrency_balanced.md_example_11.asthra,4,empty_params,HIGH,Function with empty parameter list should use (none),fn tokio_runtime_new() -> *mut TokioRuntime;,fn tokio_runtime_new(none) -> *mut TokioRuntime;
temp/manual_validation/concurrency_balanced/concurrency_balanced.md_example_11.asthra,9,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn high_performance_server() -> Result<(), string> {","pub fn high_performance_server(none) -> Result<(), string> {"
temp/manual_validation/concurrency_balanced/concurrency_balanced.md_example_11.asthra,23,string_interpolation,CRITICAL,"String interpolation removed in v1.22, use concatenation","match tokio_result.map_err(|e| format!(""Tokio error: {:?}"", e)) {","Convert to concatenation: ""match tokio_result.map_err(|e| format!(""Tokio error:"" + :? + "", e)) {"""
temp/manual_validation/concurrency_balanced/concurrency_balanced.md_example_14.asthra,3,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn with_timeout() -> Result<i32, string> {","pub fn with_timeout(none) -> Result<i32, string> {"
temp/manual_validation/concurrency_balanced/concurrency_balanced.md_example_1.asthra,3,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn main() -> Result<(), string> {","pub fn main(none) -> Result<(), string> {"
temp/manual_validation/concurrency_balanced/concurrency_balanced.md_example_16.asthra,3,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn missing_annotation() -> Result<(), string> {","pub fn missing_annotation(none) -> Result<(), string> {"
temp/manual_validation/concurrency_balanced/concurrency_balanced.md_example_16.asthra,14,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn with_annotation() -> Result<(), string> {","pub fn with_annotation(none) -> Result<(), string> {"
temp/manual_validation/concurrency_balanced/concurrency_balanced.md_example_12.asthra,3,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn well_handled_concurrency() -> Result<Vec<Data>, string> {","pub fn well_handled_concurrency(none) -> Result<Vec<Data>, string> {"
temp/manual_validation/concurrency_balanced/concurrency_balanced.md_example_9.asthra,5,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn worker_pool_example() -> Result<Vec<ProcessedData>, string> {","pub fn worker_pool_example(none) -> Result<Vec<ProcessedData>, string> {"
temp/manual_validation/concurrency_balanced/concurrency_balanced.md_example_10.asthra,5,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn synchronized_processing() -> Result<(), string> {","pub fn synchronized_processing(none) -> Result<(), string> {"
